+-----+------------+------+-------+
| id  | date       | hour | count |
| 127 | 2020-12-19 |   17 |    20 |
| 128 | 2020-12-19 |   18 |    21 |
| 129 | 2020-12-19 |   19 |    30 |
| 130 | 2020-12-19 |   20 |    58 |
| 131 | 2020-12-19 |   21 |    64 |
| 132 | 2020-12-19 |   22 |    22 |
| 133 | 2020-12-19 |   23 |    12 |
| 134 | 2020-12-20 |    0 |     6 |
| 135 | 2020-12-20 |    1 |     5 |
| 136 | 2020-12-20 |    2 |     2 |
| 136 | 2020-12-20 |    3 |     0 |
| 137 | 2020-12-20 |    4 |     1 |
| 136 | 2020-12-20 |    5 |     0 |
| 138 | 2020-12-20 |    6 |     2 |
| 139 | 2020-12-20 |    7 |     1 |
| 140 | 2020-12-20 |    8 |     5 |
| 141 | 2020-12-20 |    9 |    11 |
| 142 | 2020-12-20 |   10 |    14 |
| 143 | 2020-12-20 |   11 |    20 |
| 144 | 2020-12-20 |   12 |    13 |
| 145 | 2020-12-20 |   13 |    21 |
| 146 | 2020-12-20 |   14 |    17 |
| 147 | 2020-12-20 |   15 |    25 |
| 148 | 2020-12-20 |   16 |    19 |
| 149 | 2020-12-20 |   17 |    11 |
| 150 | 2020-12-20 |   18 |    15 |
| 151 | 2020-12-20 |   19 |    26 |
| 152 | 2020-12-20 |   20 |    27 |
| 153 | 2020-12-20 |   21 |    22 |
| 154 | 2020-12-20 |   22 |     6 |
| 155 | 2020-12-20 |   23 |    10 |
| 156 | 2020-12-21 |    0 |     1 |
| 157 | 2020-12-21 |    1 |     4 |
| 157 | 2020-12-21 |    2 |     0 |
| 158 | 2020-12-21 |    3 |     1 |
| 159 | 2020-12-21 |    4 |     2 |
| 160 | 2020-12-21 |    5 |     1 |
| 161 | 2020-12-21 |    6 |     2 |
| 161 | 2020-12-21 |    7 |     0 |
| 162 | 2020-12-21 |    8 |     5 |
| 163 | 2020-12-21 |    9 |    11 |
| 164 | 2020-12-21 |   10 |    15 |
| 165 | 2020-12-21 |   11 |    20 |
| 166 | 2020-12-21 |   12 |    25 |
| 167 | 2020-12-21 |   13 |    33 |
| 168 | 2020-12-21 |   14 |    25 |
| 169 | 2020-12-21 |   15 |    23 |
| 170 | 2020-12-21 |   16 |    21 |
| 171 | 2020-12-21 |   17 |    32 |
| 172 | 2020-12-21 |   18 |    26 |
| 173 | 2020-12-21 |   19 |    32 |
| 174 | 2020-12-21 |   20 |    35 |
| 175 | 2020-12-21 |   21 |    28 |
| 176 | 2020-12-21 |   22 |    22 |
| 177 | 2020-12-21 |   23 |    10 |
| 178 | 2020-12-22 |    0 |     5 |
| 179 | 2020-12-22 |    1 |     5 |
| 180 | 2020-12-22 |    2 |     2 |
| 181 | 2020-12-22 |    3 |     2 |
| 182 | 2020-12-22 |    4 |     2 |
| 182 | 2020-12-22 |    5 |     0 |
| 183 | 2020-12-22 |    6 |     1 |
| 184 | 2020-12-22 |    7 |     3 |
| 185 | 2020-12-22 |    8 |     7 |
| 186 | 2020-12-22 |    9 |     9 |
| 187 | 2020-12-22 |   10 |    14 |
| 188 | 2020-12-22 |   11 |    20 |
| 189 | 2020-12-22 |   12 |    27 |
| 190 | 2020-12-22 |   13 |    22 |
| 191 | 2020-12-22 |   14 |    37 |
| 192 | 2020-12-22 |   15 |    37 |
| 193 | 2020-12-22 |   16 |    34 |
| 194 | 2020-12-22 |   17 |    43 |
| 195 | 2020-12-22 |   18 |    38 |
| 196 | 2020-12-22 |   19 |    42 |
| 197 | 2020-12-22 |   20 |    64 |
| 198 | 2020-12-22 |   21 |    53 |
| 199 | 2020-12-22 |   22 |    25 |
| 200 | 2020-12-22 |   23 |    13 |
| 201 | 2020-12-23 |    0 |     7 |
| 202 | 2020-12-23 |    1 |     4 |
| 203 | 2020-12-23 |    2 |     3 |
| 204 | 2020-12-23 |    3 |     2 |
| 205 | 2020-12-23 |    4 |     2 |
| 206 | 2020-12-23 |    5 |     3 |
| 207 | 2020-12-23 |    6 |     2 |
| 208 | 2020-12-23 |    7 |     4 |
| 209 | 2020-12-23 |    8 |    10 |
| 210 | 2020-12-23 |    9 |    17 |
| 211 | 2020-12-23 |   10 |     8 |
| 212 | 2020-12-23 |   11 |    23 |
| 213 | 2020-12-23 |   12 |    35 |
| 214 | 2020-12-23 |   13 |    30 |
| 215 | 2020-12-23 |   14 |    37 |
| 216 | 2020-12-23 |   15 |    29 |
| 217 | 2020-12-23 |   16 |    28 |
| 218 | 2020-12-23 |   17 |    29 |
| 219 | 2020-12-23 |   18 |    20 |
| 220 | 2020-12-23 |   19 |    38 |
| 221 | 2020-12-23 |   20 |    39 |
| 222 | 2020-12-23 |   21 |    40 |
| 223 | 2020-12-23 |   22 |    45 |
| 224 | 2020-12-23 |   23 |    13 |
| 225 | 2020-12-24 |    0 |     6 |
| 227 | 2020-12-24 |    1 |     4 |
| 228 | 2020-12-24 |    2 |     5 |
| 229 | 2020-12-24 |    3 |     4 |
| 230 | 2020-12-24 |    4 |     2 |
